frame_index,image_file_name,frame_timestamp_ns,pose_record_index,pose_timestamp_ns,time_delta_ms,image_intrinsics_mode,tracking_state
65,frame_1468039808691713.jpg,1468039808691713,66,1468039808691713,0.000,session_fixed,TRACKING
66,frame_1468039842055775.jpg,1468039842055775,67,1468039842055775,0.000,session_fixed,TRACKING
67,frame_1468039875419838.jpg,1468039875419838,68,1468039875419838,0.000,session_fixed,TRACKING
68,frame_1468039908860261.jpg,1468039908860261,69,1468039908860261,0.000,session_fixed,TRACKING
69,frame_1468039942224324.jpg,1468039942224324,70,1468039942224324,0.000,session_fixed,TRACKING
70,frame_1468039975588386.jpg,1468039975588386,71,1468039975588386,0.000,session_fixed,TRACKING
71,frame_1468040008904585.jpg,1468040008904585,72,1468040008904585,0.000,session_fixed,TRACKING
72,frame_1468040042268647.jpg,1468040042268647,73,1468040042268647,0.000,session_fixed,TRACKING
73,frame_1468040075632710.jpg,1468040075632710,74,1468040075632710,0.000,session_fixed,TRACKING
74,frame_1468040108996534.jpg,1468040108996534,75,1468040108996534,0.000,session_fixed,TRACKING
75,frame_1468040142360597.jpg,1468040142360597,76,1468040142360597,0.000,session_fixed,TRACKING
76,frame_1468040175724659.jpg,1468040175724659,77,1468040175724659,0.000,session_fixed,TRACKING
77,frame_1468040209097075.jpg,1468040209097075,78,1468040209097075,0.000,session_fixed,TRACKING
78,frame_1468040242461138.jpg,1468040242461138,79,1468040242461138,0.000,session_fixed,TRACKING
79,frame_1468040275825148.jpg,1468040275825148,80,1468040275825148,0.000,session_fixed,TRACKING
80,frame_1468040309229349.jpg,1468040309229349,81,1468040309229349,0.000,session_fixed,TRACKING
81,frame_1468040342593411.jpg,1468040342593411,82,1468040342593411,0.000,session_fixed,TRACKING
82,frame_1468040375957422.jpg,1468040375957422,83,1468040375957422,0.000,session_fixed,TRACKING
83,frame_1468040409378470.jpg,1468040409378470,84,1468040409378470,0.000,session_fixed,TRACKING
84,frame_1468040442742533.jpg,1468040442742533,85,1468040442742533,0.000,session_fixed,TRACKING
85,frame_1468040476106543.jpg,1468040476106543,86,1468040476106543,0.000,session_fixed,TRACKING
86,frame_1468040509506312.jpg,1468040509506312,87,1468040509506312,0.000,session_fixed,TRACKING
87,frame_1468040542870374.jpg,1468040542870374,88,1468040542870374,0.000,session_fixed,TRACKING
88,frame_1468040576234385.jpg,1468040576234385,89,1468040576234385,0.000,session_fixed,TRACKING
89,frame_1468040609729827.jpg,1468040609729827,90,1468040609729827,0.000,session_fixed,TRACKING
90,frame_1468040643093890.jpg,1468040643093890,91,1468040643093890,0.000,session_fixed,TRACKING
91,frame_1468040676457900.jpg,1468040676457900,92,1468040676457900,0.000,session_fixed,TRACKING
92,frame_1468040709799626.jpg,1468040709799626,93,1468040709799626,0.000,session_fixed,TRACKING
93,frame_1468040743163636.jpg,1468040743163636,94,1468040743163636,0.000,session_fixed,TRACKING
94,frame_1468040776527698.jpg,1468040776527698,95,1468040776527698,0.000,session_fixed,TRACKING
95,frame_1468040809890912.jpg,1468040809890912,96,1468040809890912,0.000,session_fixed,TRACKING
96,frame_1468040843254922.jpg,1468040843254922,97,1468040843254922,0.000,session_fixed,TRACKING
97,frame_1468040876618985.jpg,1468040876618985,98,1468040876618985,0.000,session_fixed,TRACKING
98,frame_1468040910027767.jpg,1468040910027767,99,1468040910027767,0.000,session_fixed,TRACKING
99,frame_1468040943391778.jpg,1468040943391778,100,1468040943391778,0.000,session_fixed,TRACKING
100,frame_1468040976755840.jpg,1468040976755840,101,1468040976755840,0.000,session_fixed,TRACKING
101,frame_1468041010198273.jpg,1468041010198273,102,1468041010198273,0.000,session_fixed,TRACKING
102,frame_1468041043562283.jpg,1468041043562283,103,1468041043562283,0.000,session_fixed,TRACKING
103,frame_1468041076926346.jpg,1468041076926346,104,1468041076926346,0.000,session_fixed,TRACKING
104,frame_1468041110271231.jpg,1468041110271231,105,1468041110271231,0.000,session_fixed,TRACKING
105,frame_1468041143635242.jpg,1468041143635242,106,1468041143635242,0.000,session_fixed,TRACKING
106,frame_1468041176999304.jpg,1468041176999304,107,1468041176999304,0.000,session_fixed,TRACKING
107,frame_1468041210346488.jpg,1468041210346488,108,1468041210346488,0.000,session_fixed,TRACKING
108,frame_1468041243710498.jpg,1468041243710498,109,1468041243710498,0.000,session_fixed,TRACKING
109,frame_1468041277074561.jpg,1468041277074561,110,1468041277074561,0.000,session_fixed,TRACKING
