provider,elapsed_realtime_ns,wall_time_ms,latitude,longitude,altitude,accuracy_m,speed_mps,bearing_deg,vertical_accuracy_m
fused,1468044699417373,1775212852558,35.742537,139.4619878,147.20001220703125,15.57,0.0,0.0,3.1207824
fused,1468052000107526,1775212859859,35.7425389,139.4619889,151.00001525878906,25.046,0.021243708,0.0,1.761834
fused,1468059313011222,1775212867172,35.7425513,139.4620107,151.00001525878906,11.543,0.30387744,54.75683,1.565777
fused,1468066635120177,1775212874494,35.742585,139.4619904,151.00001525878906,13.892,0.0,0.0,1.200224
fused,1468073772537987,1775212881631,35.7425272,139.4619799,151.00001525878906,15.102,0.0,0.0,1.158328
