camera_sensor_timestamp_ns,elapsed_realtime_ns,wall_time_ms,rotation_degrees,session_elapsed_ns
1468038936656777,1468039010415865,1775212846871,0,3407459686
1468038951285647,1468039032599563,1775212846891,0,3429643384
1468038970020787,1468039048953052,1775212846910,0,3445996873
1468038984649710,1468039059766802,1775212846918,0,3456810623
1468039003553347,1468039069979302,1775212846930,0,3467023123
1468039026362772,1468039094295917,1775212846954,0,3491339738
1468039041090409,1468039106457011,1775212846967,0,3503500832
1468039059726782,1468039126637323,1775212846985,0,3523681144
1468039074454419,1468039139245031,1775212847000,0,3536288852
1468039093090845,1468039155020083,1775212847014,0,3552063904
1468039107667806,1468039163772583,1775212847024,0,3560816404
1468039126454907,1468039195512219,1775212847054,0,3592556040
1468039141031868,1468039208973521,1775212847069,0,3606017342
1468039159818918,1468039228231438,1775212847087,0,3625275259
1468039174395879,1468039237797323,1775212847098,0,3634841144
1468039193182980,1468039260470604,1775212847120,0,3657514425
1468039207773232,1468039268532896,1775212847129,0,3665576717
1468039226547043,1468039298223104,1775212847157,0,3695266925
1468039241137295,1468039314471281,1775212847174,0,3711515102
1468039259911053,1468039332678781,1775212847191,0,3729722602
1468039274501305,1468039347433313,1775212847207,0,3744477134
1468039293275116,1468039364700969,1775212847223,0,3761744790
1468039307939980,1468039376118677,1775212847236,0,3773162498
1468039326639126,1468039397023729,1775212847256,0,3794067550
1468039341303990,1468039405610500,1775212847266,0,3802654321
1468039360003189,1468039420915031,1775212847279,0,3817958852
1468039374668053,1468039434063573,1775212847294,0,3831107394
1468039393367251,1468039458071958,1775212847317,0,3855115779
1468039408293487,1468039470484719,1775212847330,0,3867528540
1468039426731262,1468039486418885,1775212847345,0,3883462706
1468039441657498,1468039498590448,1775212847359,0,3895634269
1468039460095324,1468039523151490,1775212847382,0,3920195311
1468039475021560,1468039533604562,1775212847394,0,3930648383
1468039493459387,1468039561246750,1775212847420,0,3958290571
1468039508244281,1468039575548208,1775212847435,0,3972592029
1468039526823397,1468039589341385,1775212847448,0,3986385206
1468039541608291,1468039601275448,1775212847461,0,3998319269
1468039560187460,1468039627899354,1775212847486,0,4024943175
1468039574972354,1468039639491333,1775212847500,0,4036535154
1468039593551522,1468039655917114,1775212847514,0,4052960935
1468039608443020,1468039670886542,1775212847531,0,4067930363
1468039626915532,1468039694934146,1775212847553,0,4091977967
1468039641807030,1468039705253208,1775212847566,0,4102297029
1468039660279595,1468039728453208,1775212847587,0,4125497029
1468039675171093,1468039742570448,1775212847602,0,4139614269
1468039693643657,1468039761650344,1775212847620,0,4158694165
1468039708522847,1468039773391021,1775212847633,0,4170434842
1468039727007668,1468039787609667,1775212847646,0,4184653488
1468039741886858,1468039797202948,1775212847657,0,4194246769
1468039760371730,1468039819980187,1775212847679,0,4217024008
1468039775250920,1468039829843677,1775212847690,0,4226887498
1468039793735741,1468039856501906,1775212847715,0,4253545727
1468039808691713,1468039868330708,1775212847728,0,4265374529
1468039827099803,1468039899408312,1775212847758,0,4296452133
1468039842055775,1468039911154458,1775212847772,0,4308198279
1468039860463866,1468039927941906,1775212847786,0,4324985727
1468039875419838,1468039938761594,1775212847799,0,4335805415
1468039893827876,1468039956294510,1775212847815,0,4353338331
1468039908860261,1468039972482948,1775212847832,0,4369526769
1468039927191939,1468039998304354,1775212847857,0,4395348175
1468039942224324,1468040011353364,1775212847871,0,4408397185
1468039960556001,1468040031818885,1775212847890,0,4428862706
1468039975588386,1468040039703573,1775212847899,0,4436747394
1468039993920012,1468040061191541,1775212847920,0,4458235362
1468040008904585,1468040071818416,1775212847933,0,4468862237
1468040027284074,1468040101466698,1775212847960,0,4498510519
1468040042268647,1468040111347583,1775212847971,0,4508391404
1468040060648137,1468040137805552,1775212847996,0,4534849373
1468040075632710,1468040148149614,1775212848008,0,4545193435
1468040094012147,1468040161502896,1775212848020,0,4558546717
1468040108996534,1468040169849614,1775212848030,0,4566893435
1468040127376210,1468040191420031,1775212848050,0,4588463852
1468040142360597,1468040205468260,1775212848065,0,4602512081
1468040160740272,1468040230946177,1775212848089,0,4627989998
1468040175724659,1468040245907843,1775212848106,0,4642951664
1468040194104282,1468040267071281,1775212848126,0,4664115102
1468040209097075,1468040278935604,1775212848139,0,4675979425
1468040227468345,1468040292935760,1775212848151,0,4689979581
1468040242461138,1468040303330448,1775212848164,0,4700374269
1468040260832355,1468040324792739,1775212848183,0,4721836560
1468040275825148,1468040337580812,1775212848197,0,4734624633
1468040294196418,1468040365360239,1775212848224,0,4762404060
1468040309229349,1468040375921854,1775212848236,0,4772965675
1468040327560480,1468040388277427,1775212848247,0,4785321248
1468040342593411,1468040399651437,1775212848261,0,4796695258
1468040360924491,1468040425746593,1775212848284,0,4822790414
1468040375957422,1468040434148885,1775212848294,0,4831192706
1468040394288553,1468040456286645,1775212848315,0,4853330466
1468040409378470,1468040466577010,1775212848326,0,4863620831
1468040427652616,1468040500462739,1775212848359,0,4897506560
1468040442742533,1468040518147427,1775212848378,0,4915191248
1468040461016626,1468040534346385,1775212848393,0,4931390206
1468040476106543,1468040543648052,1775212848404,0,4940691873
1468040494380689,1468040561641281,1775212848420,0,4958685102
1468040509506312,1468040571225604,1775212848431,0,4968269425
1468040527744751,1468040594727739,1775212848453,0,4991771560
1468040542870374,1468040608057583,1775212848468,0,5005101404
1468040561108762,1468040628467062,1775212848487,0,5025510883
1468040576234385,1468040642752635,1775212848503,0,5039796456
1468040594472824,1468040657026229,1775212848516,0,5054070050
1468040609729827,1468040667026645,1775212848527,0,5064070466
1468040627836887,1468040694058312,1775212848553,0,5091102133
1468040643093890,1468040704384458,1775212848564,0,5101428279
1468040661200897,1468040730761333,1775212848589,0,5127805154
1468040676457900,1468040740436437,1775212848600,0,5137480258
1468040694564960,1468040762381437,1775212848621,0,5159425258
1468040709799626,1468040774915187,1775212848635,0,5171959008
1468040727928970,1468040798644666,1775212848657,0,5195688487
1468040743163636,1468040815281020,1775212848674,0,5212324841
1468040761293032,1468040825069979,1775212848684,0,5222113800
1468040776527698,1468040837472166,1775212848696,0,5234515987
1468040794657095,1468040855327739,1775212848714,0,5252371560
1468040809890912,1468040865974302,1775212848725,0,5263018123
1468040828021105,1468040893181333,1775212848752,0,5290225154
1468040843254922,1468040908462374,1775212848767,0,5305506195
1468040861385168,1468040922651697,1775212848781,0,5319695518
1468040876618985,1468040933979874,1775212848793,0,5331023695
1468040894749230,1468040955503156,1775212848814,0,5352546977
1468040910027767,1468040966029770,1775212848825,0,5363073591
1468040928113241,1468040998747062,1775212848857,0,5395790883
1468040943391778,1468041015801854,1775212848875,0,5412845675
1468040961477303,1468041036204614,1775212848895,0,5433248435
1468040976755840,1468041054903624,1775212848914,0,5451947445
1468040994841366,1468041068222374,1775212848927,0,5465266195
1468041010198273,1468041085708833,1775212848945,0,5482752654
1468041028205376,1468041094642635,1775212848953,0,5491686456
1468041043562283,1468041108225864,1775212848967,0,5505269685
1468041061569439,1468041123333676,1775212848982,0,5520377497
1468041076926346,1468041135762010,1775212848995,0,5532805831
1468041094933501,1468041155767010,1775212849014,0,5552810831
1468041110271231,1468041164604145,1775212849023,0,5561647966
1468041128297512,1468041191597583,1775212849050,0,5588641404
1468041143635242,1468041202252531,1775212849061,0,5599296352
1468041161661574,1468041232222895,1775212849091,0,5629266716
1468041176999304,1468041244827635,1775212849104,0,5641871456
1468041195025637,1468041261738312,1775212849120,0,5658782133
