sensor_type,event_timestamp_ns,elapsed_realtime_ns,wall_time_ms,x,y,z,accuracy
android.sensor.accelerometer,1468036915193958,1468036925393105,1775212844784,0.096909314,9.038888,3.947559,3
android.sensor.gyroscope,1468036940222291,1468036947042063,1775212844806,-0.0021380268,-0.022907428,0.015882485,3
android.sensor.accelerometer,1468036943687395,1468036951695553,1775212844810,0.20458634,9.0029955,3.8446677,3
android.sensor.gyroscope,1468036963966822,1468036970526907,1775212844829,0.00763581,-0.011911863,0.0024434591,3
android.sensor.accelerometer,1468036972180833,1468036980277584,1775212844839,0.317049,9.010174,4.0648074,3
android.sensor.gyroscope,1468036987711354,1468036994553470,1775212844853,0.024740024,-0.059559315,-0.02687805,3
android.sensor.accelerometer,1468036991176406,1468037001090188,1775212844860,0.31226337,9.010174,3.842275,3
android.sensor.gyroscope,1468037011455833,1468037017826699,1775212844876,0.008857539,-0.041233372,-0.02932151,3
android.sensor.accelerometer,1468037019669843,1468037028212636,1775212844887,-0.02751746,9.062816,3.667599,3
android.sensor.gyroscope,1468037030451458,1468037038786959,1775212844897,-0.01802051,-0.010690134,-0.0024434591,3
android.sensor.accelerometer,1468037048163281,1468037056833209,1775212844915,0.12562318,9.101101,3.9547377,3
android.sensor.gyroscope,1468037054195989,1468037060556647,1775212844919,-0.024129158,-0.015577052,0.0061086477,3
android.sensor.gyroscope,1468037077940520,1468037084414511,1775212844943,-0.0058032153,-0.038789913,-0.019547673,3
android.sensor.accelerometer,1468037076656718,1468037084511751,1775212844943,0.28594232,9.0436735,3.952345,3
android.sensor.gyroscope,1468037101685052,1468037108756699,1775212844967,0.028405212,-0.009468404,-0.032986697,3
android.sensor.accelerometer,1468037105150156,1468037113343261,1775212844972,0.058624156,9.0341015,3.8638103,3
android.sensor.gyroscope,1468037115931770,1468037130991334,1775212844990,0.028405212,-0.013133593,-0.021991132,3
android.sensor.accelerometer,1468037133643593,1468037141735345,1775212845000,0.0634098,9.086744,3.667599,3
android.sensor.gyroscope,1468037149174114,1468037156357793,1775212845015,-0.031459536,0.0015271619,0.0012217296,3
android.sensor.accelerometer,1468037162137031,1468037170512011,1775212845029,0.08255238,9.069994,3.842275,3
android.sensor.gyroscope,1468037172918645,1468037180054459,1775212845039,-0.065667965,-0.01924224,0.0036651888,3
android.sensor.accelerometer,1468037190630416,1468037199962168,1775212845058,0.11844472,8.993423,4.0624146,3
android.sensor.gyroscope,1468037196663177,1468037202913470,1775212845061,-0.035124727,-0.0058032153,-0.0024434591,3
android.sensor.gyroscope,1468037215658750,1468037223073209,1775212845082,-0.008246674,0.0015271619,0.0024434591,3
android.sensor.accelerometer,1468037219123854,1468037227014928,1775212845086,0.07776674,8.979067,4.0528436,3
android.sensor.gyroscope,1468037239403281,1468037246147897,1775212845105,0.028405212,0.010079269,-0.0024434591,3
android.sensor.accelerometer,1468037247617291,1468037256870240,1775212845115,0.01794617,9.022138,3.9834516,3
android.sensor.gyroscope,1468037263147812,1468037269860345,1775212845128,0.013744458,-0.014355322,0.0073303776,3
android.sensor.accelerometer,1468037276110729,1468037283831230,1775212845142,0.08733802,9.0029955,3.7417765,3
android.sensor.gyroscope,1468037282143437,1468037290083886,1775212845149,-0.040011644,-0.0021380268,0.0061086477,3
android.sensor.gyroscope,1468037305887968,1468037312652636,1775212845171,-0.041233372,0.003970621,-0.012217295,3
android.sensor.accelerometer,1468037304604166,1468037312956022,1775212845171,0.14476576,9.053245,4.148556,3
android.sensor.gyroscope,1468037329632500,1468037336073053,1775212845195,0.016187917,-0.032681264,-0.0012217296,3
android.sensor.accelerometer,1468037333097604,1468037341189303,1775212845200,0.07776674,9.108279,3.9690945,3
android.sensor.gyroscope,1468037348628125,1468037357304147,1775212845216,0.029626941,0.00763581,0.014660755,3
android.sensor.accelerometer,1468037361591041,1468037369492480,1775212845228,0.13758731,9.086744,3.7393837,3
android.sensor.gyroscope,1468037372372656,1468037380191959,1775212845239,-0.02046397,0.03084867,0.019547673,3
android.sensor.accelerometer,1468037390084479,1468037397731022,1775212845256,0.23569304,8.976674,4.110271,3
android.sensor.gyroscope,1468037396117187,1468037402473886,1775212845261,-0.02046397,-0.02046397,-0.0097738365,3
android.sensor.gyroscope,1468037419861718,1468037426455657,1775212845285,-0.0070249448,-0.035124727,-0.0073303776,3
android.sensor.accelerometer,1468037418577916,1468037426640292,1775212845285,0.12801601,9.05803,3.8590248,3
android.sensor.gyroscope,1468037443606250,1468037450333938,1775212845309,-0.009468404,-0.0070249448,0.013439025,3
android.sensor.accelerometer,1468037447071354,1468037454968001,1775212845313,0.2739782,9.026923,3.9188452,3
android.sensor.gyroscope,1468037467350781,1468037473832792,1775212845332,0.00763581,-0.0070249448,-0.010995566,3
android.sensor.accelerometer,1468037475564791,1468037483457115,1775212845342,0.276371,9.000603,3.9786658,3
android.sensor.gyroscope,1468037491095312,1468037497840501,1775212845356,3.054324E-4,-0.054672398,-0.042760536,3
android.sensor.accelerometer,1468037504058229,1468037512204824,1775212845371,0.046660043,9.108279,3.6891344,3
android.sensor.gyroscope,1468037514839895,1468037521528626,1775212845380,-0.030237807,-0.022907428,-0.013439025,3
android.sensor.accelerometer,1468037532551718,1468037540605709,1775212845399,0.17826529,9.12503,3.8973098,3
android.sensor.gyroscope,1468037533835520,1468037543198365,1775212845402,-0.041233372,-0.0070249448,0.0048869182,3
android.sensor.gyroscope,1468037557580052,1468037564185344,1775212845423,-0.009468404,-0.014355322,-0.0073303776,3
android.sensor.accelerometer,1468037561045156,1468037568876074,1775212845427,0.38644084,8.928818,4.127021,3
android.sensor.gyroscope,1468037581324583,1468037587928001,1775212845446,-0.009468404,-0.083993904,-0.0537561,3
android.sensor.accelerometer,1468037589538593,1468037597558730,1775212845456,0.2883351,8.959925,3.7322052,3
android.sensor.gyroscope,1468037605069114,1468037611872740,1775212845470,-0.036346454,-0.057115857,-0.05864302,3
android.sensor.accelerometer,1468037618032031,1468037626578469,1775212845485,0.19262223,9.201599,3.9403806,3
android.sensor.gyroscope,1468037628813645,1468037635716751,1775212845494,-0.040011644,-0.058337588,-0.02443459,3
android.sensor.accelerometer,1468037637027656,1468037647741490,1775212845506,0.33140594,9.065208,4.009773,3
android.sensor.gyroscope,1468037652558177,1468037660629355,1775212845519,0.003970621,-0.040011644,-0.039095346,3
android.sensor.accelerometer,1468037665521093,1468037673566907,1775212845532,0.35294133,8.933603,3.8590248,3
android.sensor.gyroscope,1468037676302708,1468037683006803,1775212845542,-0.015577052,-0.060781047,-0.07208204,3
